IBGE;q_16_3;q_16_8;q_16_9;q_16_10;q_16_11;q_16_12;q_16_13;UF;Região;DataCenso;DataCenso_2018;q_16_2_rec;Idade;Faixas_etarias;d_16_8;d_16_10;d_16_8bin1;d_16_8bin2;d_16_8bin3;d_16_9bin1;d_16_9bin2;d_16_9bin3;d_16_9bin4;d_16_9bin5;d_16_10bin1;d_16_10bin2;d_16_10bin3;d_16_10bin4;d_16_8bin1_sum;d_16_8bin2_sum;d_16_8bin3_sum;d_16_9bin1_sum;d_16_9bin2_sum;d_16_9bin3_sum;d_16_9bin4_sum;d_16_9bin5_sum;d_16_10bin1_sum;d_16_10bin2_sum;d_16_10bin3_sum;d_16_10bin4_sum;nu_trabalhadores
14;1;257;274;138;249;20;02/01/2017;14;1;31.08.2018;8/31/2018;8/25/1980;38;2;2;1; ; ;1; ; ; ; ;1;1; ; ; ; ;2;9; ; ; ;1;1;10; ;1; ;11
14;1;257;237;138;251;20; ;14;1;31.08.2018;8/31/2018;2/6/1969;49;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;2;9; ; ; ;1;1;10; ;1; ;11
14;1;257;237;138;249;20; ;14;1;31.08.2018;8/31/2018;11/15/1972;45;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;2;9; ; ; ;1;1;10; ;1; ;11
50;2;255;238;138;250;20; ;50;5;31.08.2018;8/31/2018;7/9/1978;40;2;1;1; ;1; ; ; ; ; ; ;1; ; ; ; ;9;9;2;2; ; ; ;12; ;6; ;18
11;2;258;235;138;254;20; ;11;1;31.08.2018;8/31/2018;4/11/1978;40;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ; ;2; ;1; ; ; ;1; ;1; ;2
11;2;257;273;292;48;391;21/08/2018;11;1;31.08.2018;8/31/2018;12/17/1967;50;3;2;3; ; ;1; ;1; ; ; ; ; ;1; ; ; ;2; ;1; ; ; ;1; ;1; ;2
12;1;257;237;292;249;20; ;12;1;31.08.2018;8/31/2018;10/17/1964;53;4;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;1; ; ;1; ; ; ;6; ;6
12;2;257;237;292;249;20; ;12;1;31.08.2018;8/31/2018;10/31/1972;45;3;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;1; ; ;1; ; ; ;6; ;6
12;2;257;232;292;48;20;27/11/2015;12;1;31.08.2018;8/31/2018;12/1/1974;43;3;2;3; ; ;1; ; ; ;1; ; ; ;1; ; ; ;6;1; ; ;1; ; ; ;6; ;6
12;1;258;275;292;249;20; ;12;1;31.08.2018;8/31/2018;6/11/1968;50;3;2;3; ; ;1;1; ; ; ; ; ; ;1; ; ; ;6;1; ; ;1; ; ; ;6; ;6
12;1;257;235;292;249;20; ;12;1;31.08.2018;8/31/2018;10/3/1982;35;2;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;1; ; ;1; ; ; ;6; ;6
12;1;257;237;292;249;20; ;12;1;31.08.2018;8/31/2018;3/18/1985;33;2;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ; ;6;1; ; ;1; ; ; ;6; ;6
13;2;257;235;292;21;20; ;13;1;31.08.2018;8/31/2018;1/21/1995;23;1;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ;2;1; ; ; ; ; ;1; ;2; ;3
13;2;255;239;138;251;20; ;13;1;31.08.2018;8/31/2018;9/18/1975;42;3;1;1; ;1; ; ; ; ; ; ;1; ; ; ; ;2;1; ; ; ; ; ;1; ;2; ;3
13;1;256;239;292;251;20; ;13;1;31.08.2018;8/31/2018;8/18/1983;35;2;1;3; ;1; ; ; ; ; ; ; ; ;1; ; ;2;1; ; ; ; ; ;1; ;2; ;3
14;1;256;238;138;250;20;02/01/2017;14;1;31.08.2018;8/31/2018;12/29/1994;23;1;1;1; ;1; ; ; ; ; ; ;1; ; ; ; ;2;9; ; ; ;1;1;10; ;1; ;11
14;2;257;235;138;249;20; ;14;1;31.08.2018;8/31/2018;9/29/1988;29;1;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;2;9; ; ; ;1;1;10; ;1; ;11
14;2;257;237;138;249;20;02/01/2017;14;1;31.08.2018;8/31/2018;5/17/1983;35;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;2;9; ; ; ;1;1;10; ;1; ;11
14;1;257;236;292;254;20; ;14;1;31.08.2018;8/31/2018;10/22/1966;51;4;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ;2;9; ; ; ;1;1;10; ;1; ;11
14;1;257;237;138;251;20; ;14;1;31.08.2018;8/31/2018;6/10/1974;44;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;2;9; ; ; ;1;1;10; ;1; ;11
14;1;255;238;138;249;20;02/01/2017;14;1;31.08.2018;8/31/2018;1/3/1973;45;3;1;1; ;1; ; ; ; ; ; ;1; ; ; ; ;2;9; ; ; ;1;1;10; ;1; ;11
14;1;260;237;138;249;20;02/01/2017;14;1;31.08.2018;8/31/2018;10/7/1979;38;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;2;9; ; ; ;1;1;10; ;1; ;11
14;2;257;232;138;249;20;02/01/2017;14;1;31.08.2018;8/31/2018;5/17/1983;35;2;2;1; ; ;1; ; ; ;1; ;1; ; ; ; ;2;9; ; ; ;1;1;10; ;1; ;11
15;2;258;274;138;249;20;01/01/2015;15;1;31.08.2018;8/31/2018;6/27/1960;58;4;2;1; ; ;1; ; ; ; ;1;1; ; ; ; ; ;1; ; ; ; ;1;1; ; ; ;1
16;1;257;235;138;249;20;26/06/2012;16;1;31.08.2018;8/31/2018;9/29/1966;51;4;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;1;4; ;1; ; ; ;5; ; ; ;5
16;1;256;238;138;250;20;04/02/1988;16;1;31.08.2018;8/31/2018;11/2/1963;54;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ; ;1;4; ;1; ; ; ;5; ; ; ;5
16;1;257;273;138;249;20;05/07/2011;16;1;31.08.2018;8/31/2018;5/6/1970;48;3;2;1; ; ;1; ;1; ; ; ;1; ; ; ; ;1;4; ;1; ; ; ;5; ; ; ;5
16;1;258;235;138;249;20;05/09/2015;16;1;31.08.2018;8/31/2018;3/15/1974;44;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;1;4; ;1; ; ; ;5; ; ; ;5
16;2;257;235;138;21;20;05/09/2015;16;1;31.08.2018;8/31/2018;11/1/1979;38;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;1;4; ;1; ; ; ;5; ; ; ;5
17;2;257;237;138;254;20;28/11/2018;17;1;31.08.2018;8/31/2018;7/4/1989;29;1;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ; ;3;1; ; ; ; ;2; ;1; ;3
17;1;257;237;138;254;20;28/11/2018;17;1;31.08.2018;8/31/2018;12/17/1968;49;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ; ;3;1; ; ; ; ;2; ;1; ;3
17;1;257;275;292;48;20;19/04/2018;17;1;31.08.2018;8/31/2018;5/19/1964;54;4;2;3; ; ;1;1; ; ; ; ; ; ;1; ; ; ;3;1; ; ; ; ;2; ;1; ;3
21;1;257;235;266;251;20;01/04/2010;21;2;31.08.2018;8/31/2018;3/3/1985;33;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1; ;2;4; ;1; ; ; ;4; ;1;1;6
21;1;255;238;138;250;20;01/04/1982;21;2;31.08.2018;8/31/2018;9/30/1952;65;5;1;1; ;1; ; ; ; ; ; ;1; ; ; ; ;2;4; ;1; ; ; ;4; ;1;1;6
21;1;258;273;292;249;20;01/02/2015;21;2;31.08.2018;8/31/2018;3/22/1957;61;5;2;3; ; ;1; ;1; ; ; ; ; ;1; ; ;2;4; ;1; ; ; ;4; ;1;1;6
21;1;257;237;138;249;20;01/01/1982;21;2;31.08.2018;8/31/2018;3/26/1956;62;5;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;2;4; ;1; ; ; ;4; ;1;1;6
21;2;255;238;138;250;20;01/04/1982;21;2;31.08.2018;8/31/2018;1/24/1960;58;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ; ;2;4; ;1; ; ; ;4; ;1;1;6
21;1;257;237;138;249;20;01/01/1982;21;2;31.08.2018;8/31/2018;4/1/1960;58;4;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;2;4; ;1; ; ; ;4; ;1;1;6
23;1;256;237;293;249;263;01/12/2004;23;2;31.08.2018;8/31/2018;10/3/1985;32;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;9;9; ; ; ;1; ;5;4;1;9;19
23;1;255;238;264;250;263;06/04/2005;23;2;31.08.2018;8/31/2018;5/9/1986;32;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;9;9; ; ; ;1; ;5;4;1;9;19
23;1;255;238;264;250;263;08/08/2012;23;2;31.08.2018;8/31/2018;3/13/1985;33;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;9;9; ; ; ;1; ;5;4;1;9;19
23;1;257;237;264;249;263;01/02/2006;23;2;31.08.2018;8/31/2018;10/9/1986;31;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1;9;9; ; ; ;1; ;5;4;1;9;19
23;2;257;237;264;249;263;15/01/2018;23;2;31.08.2018;8/31/2018;3/3/1988;30;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1;9;9; ; ; ;1; ;5;4;1;9;19
23;1;255;238;139;250;263;02/09/2013;23;2;31.08.2018;8/31/2018;8/19/1989;29;1;1;2; ;1; ; ; ; ; ; ; ;1; ; ;1;9;9; ; ; ;1; ;5;4;1;9;19
23;2;256;238;138;250;20;01/11/2016;23;2;31.08.2018;8/31/2018;12/9/1951;66;5;1;1; ;1; ; ; ; ; ; ;1; ; ; ;1;9;9; ; ; ;1; ;5;4;1;9;19
23;1;256;238;139;250;263;02/04/2018;23;2;31.08.2018;8/31/2018;5/25/1999;19;1;1;2; ;1; ; ; ; ; ; ; ;1; ; ;1;9;9; ; ; ;1; ;5;4;1;9;19
23;1;256;238;293;250;20;02/01/2015;23;2;31.08.2018;8/31/2018;8/19/1994;24;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;9;9; ; ; ;1; ;5;4;1;9;19
23;1;257;237;138;249;20;29/04/1985;23;2;31.08.2018;8/31/2018;4/3/1953;65;5;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;9;9; ; ; ;1; ;5;4;1;9;19
23;1;257;237;138;250;18;19/04/1982;23;2;31.08.2018;8/31/2018;4/10/1961;57;4;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;9;9; ; ; ;1; ;5;4;1;9;19
23;2;257;237;138;249;20;03/05/1984;23;2;31.08.2018;8/31/2018;5/7/1964;54;4;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;9;9; ; ; ;1; ;5;4;1;9;19
23;2;258;232;292;389;263;23/04/2018;23;2;31.08.2018;8/31/2018;7/5/1966;52;4;2;3; ; ;1; ; ; ;1; ; ; ;1; ;1;9;9; ; ; ;1; ;5;4;1;9;19
23;1;257;236;138;249;263;20/04/1981;23;2;31.08.2018;8/31/2018;4/28/1956;62;5;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;9;9; ; ; ;1; ;5;4;1;9;19
23;2;257;237;139;249;20;22/09/2014;23;2;31.08.2018;8/31/2018;4/1/1980;38;2;2;2; ; ;1; ; ; ; ; ; ;1; ; ;1;9;9; ; ; ;1; ;5;4;1;9;19
23;1;255;238;264;250;20;01/06/2002;23;2;31.08.2018;8/31/2018;10/15/1982;35;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;9;9; ; ; ;1; ;5;4;1;9;19
23;1;257;237;293;249;20;01/03/2000;23;2;31.08.2018;8/31/2018;8/8/1982;36;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1;9;9; ; ; ;1; ;5;4;1;9;19
23;1;255;238;139;250;263;02/08/2002;23;2;31.08.2018;8/31/2018;9/1/1984;33;2;1;2; ;1; ; ; ; ; ; ; ;1; ; ;1;9;9; ; ; ;1; ;5;4;1;9;19
23;1;254;238;293;250;20;01/06/2012;23;2;31.08.2018;8/31/2018;7/17/1981;37;2;0;4;1; ; ; ; ; ; ; ; ; ; ;1;1;9;9; ; ; ;1; ;5;4;1;9;19
24;1;257;235;292;21;20;10/02/2015;24;2;31.08.2018;8/31/2018;9/4/1981;36;2;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ; ;2; ; ; ; ; ; ; ;2; ;2
24;1;257;237;292;249;20; ;24;2;31.08.2018;8/31/2018;12/18/1989;28;1;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ; ;2; ; ; ; ; ; ; ;2; ;2
25;2;257;282;266;249;263;02/02/2007;25;2;31.08.2018;8/31/2018;7/21/1947;71;5;2;4; ; ;1; ; ; ; ; ; ; ; ;1; ; ;2; ;1; ; ; ; ; ;1;1;2
25;1;261;273;292;249;263;01/01/2011;25;2;31.08.2018;8/31/2018;6/16/1964;54;4;2;3; ; ;1; ;1; ; ; ; ; ;1; ; ; ;2; ;1; ; ; ; ; ;1;1;2
26;1;257;273;293;249;262; ;26;2;31.08.2018;8/31/2018;8/2/1976;42;3;2;4; ; ;1; ;1; ; ; ; ; ; ;1;2;4;7; ;2; ; ; ;7; ;3;3;13
26;2;257;237;293;249;262; ;26;2;31.08.2018;8/31/2018;1/29/1953;65;5;2;4; ; ;1; ; ; ; ; ; ; ; ;1;2;4;7; ;2; ; ; ;7; ;3;3;13
26;2;257;237;292;254;263;01/06/2017;26;2;31.08.2018;8/31/2018;5/30/1990;28;1;2;3; ; ;1; ; ; ; ; ; ; ;1; ;2;4;7; ;2; ; ; ;7; ;3;3;13
26;1;257;237;138;249;262; ;26;2;31.08.2018;8/31/2018;6/9/1955;63;5;2;1; ; ;1; ; ; ; ; ;1; ; ; ;2;4;7; ;2; ; ; ;7; ;3;3;13
26;1;255;238;138;250;262; ;26;2;31.08.2018;8/31/2018;3/28/1951;67;5;1;1; ;1; ; ; ; ; ; ;1; ; ; ;2;4;7; ;2; ; ; ;7; ;3;3;13
26;1;257;273;292;249;262; ;26;2;31.08.2018;8/31/2018;7/30/1992;26;1;2;3; ; ;1; ;1; ; ; ; ; ;1; ;2;4;7; ;2; ; ; ;7; ;3;3;13
26;1;257;237;138;249;262; ;26;2;31.08.2018;8/31/2018;12/6/1953;64;5;2;1; ; ;1; ; ; ; ; ;1; ; ; ;2;4;7; ;2; ; ; ;7; ;3;3;13
26;1;253;239;138;254;262; ;26;2;31.08.2018;8/31/2018;2/28/1960;58;4;0;1;1; ; ; ; ; ; ; ;1; ; ; ;2;4;7; ;2; ; ; ;7; ;3;3;13
26;1;253;239;138;250;262; ;26;2;31.08.2018;8/31/2018;2/10/1947;71;5;0;1;1; ; ; ; ; ; ; ;1; ; ; ;2;4;7; ;2; ; ; ;7; ;3;3;13
26;1;255;238;138;250;262; ;26;2;31.08.2018;8/31/2018;2/10/1964;54;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ;2;4;7; ;2; ; ; ;7; ;3;3;13
26;1;255;238;138;250;262; ;26;2;31.08.2018;8/31/2018;3/28/1964;54;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ;2;4;7; ;2; ; ; ;7; ;3;3;13
26;1;258;235;293;249;262; ;26;2;31.08.2018;8/31/2018;9/18/1968;49;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;2;4;7; ;2; ; ; ;7; ;3;3;13
26;1;255;238;292;251;262; ;26;2;31.08.2018;8/31/2018;12/13/1975;42;3;1;3; ;1; ; ; ; ; ; ; ; ;1; ;2;4;7; ;2; ; ; ;7; ;3;3;13
27;1;258;237;292;249;20;12/04/2017;27;2;31.08.2018;8/31/2018;9/21/1981;36;2;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;2;255;238;292;389;20;09/01/2017;27;2;31.08.2018;8/31/2018;11/30/1981;36;2;1;3; ;1; ; ; ; ; ; ; ; ;1; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;2;256;238;292;250;20;02/02/2017;27;2;31.08.2018;8/31/2018;12/18/1991;26;1;1;3; ;1; ; ; ; ; ; ; ; ;1; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;2;258;235;142;253;18;02/04/2018;27;2;31.08.2018;8/31/2018;1/22/1990;28;1;2;4; ; ;1; ; ; ; ; ; ; ; ;1; ;6;11; ; ; ;1; ;5; ;9;3;17
27;1;257;232;292;389;20;18/01/2017;27;2;31.08.2018;8/31/2018;12/7/1991;26;1;2;3; ; ;1; ; ; ;1; ; ; ;1; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;1;258;237;292;249;20;04/08/2016;27;2;31.08.2018;8/31/2018;6/4/1990;28;1;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;1;258;235;142;253;18;06/04/2018;27;2;31.08.2018;8/31/2018;8/27/1991;27;1;2;4; ; ;1; ; ; ; ; ; ; ; ;1; ;6;11; ; ; ;1; ;5; ;9;3;17
27;2;255;238;138;250;18;13/09/1973;27;2;31.08.2018;8/31/2018;6/24/1953;65;5;1;1; ;1; ; ; ; ; ; ;1; ; ; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;1;256;239;142;253;18;17/11/2017;27;2;31.08.2018;8/31/2018;3/22/1996;22;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1; ;6;11; ; ; ;1; ;5; ;9;3;17
27;2;256;238;292;250;20;18/08/2016;27;2;31.08.2018;8/31/2018;4/18/1958;60;4;1;3; ;1; ; ; ; ; ; ; ; ;1; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;2;257;237;138;249;20;11/02/1982;27;2;31.08.2018;8/31/2018;6/19/1957;61;5;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;1;257;238;138;250;20;11/02/1984;27;2;31.08.2018;8/31/2018;1/7/1953;65;5;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;1;258;237;292;249;20;30/01/2017;27;2;31.08.2018;8/31/2018;12/21/1957;60;4;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;1;258;237;138;249;20;15/01/1981;27;2;31.08.2018;8/31/2018;10/19/1961;56;4;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;1;255;238;138;250;18;11/03/1986;27;2;31.08.2018;8/31/2018;5/26/1960;58;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;2;260;237;292;48;20;09/01/2017;27;2;31.08.2018;8/31/2018;7/17/1963;55;4;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;2;257;237;292;249;20;21/12/2017;27;2;31.08.2018;8/31/2018;5/24/1974;44;3;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ;6;11; ; ; ;1; ;5; ;9;3;17
28;1;257;237;292;21;18;01/08/2017;28;2;31.08.2018;8/31/2018;3/27/1980;38;2;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ;3;1; ; ; ; ; ;1; ;3; ;4
28;1;256;239;292;250;20;01/05/2015;28;2;31.08.2018;8/31/2018;11/20/1988;29;1;1;3; ;1; ; ; ; ; ; ; ; ;1; ; ;3;1; ; ; ; ; ;1; ;3; ;4
28;2;255;239;138;250;20;01/03/2017;28;2;31.08.2018;8/31/2018;12/31/1963;54;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ; ;3;1; ; ; ; ; ;1; ;3; ;4
28;1;255;238;292;250;20;01/06/2018;28;2;31.08.2018;8/31/2018;11/2/1962;55;4;1;3; ;1; ; ; ; ; ; ; ; ;1; ; ;3;1; ; ; ; ; ;1; ;3; ;4
29;1;257;235;292;249;20; ;29;2;31.08.2018;8/31/2018;11/20/1993;24;1;2;3; ; ;1; ; ; ; ; ; ; ;1; ;1;5;8; ; ; ; ; ;4; ;9;1;14
29;2;255;238;292;250;20; ;29;2;31.08.2018;8/31/2018;1/22/1985;33;2;1;3; ;1; ; ; ; ; ; ; ; ;1; ;1;5;8; ; ; ; ; ;4; ;9;1;14
29;2;257;237;292;21;20;04/05/2017;29;2;31.08.2018;8/31/2018;3/7/1986;32;2;2;3; ; ;1; ; ; ; ; ; ; ;1; ;1;5;8; ; ; ; ; ;4; ;9;1;14
29;1;255;238;292;250;20; ;29;2;31.08.2018;8/31/2018;5/19/1987;31;2;1;3; ;1; ; ; ; ; ; ; ; ;1; ;1;5;8; ; ; ; ; ;4; ;9;1;14
29;1;256;238;292;250;20; ;29;2;31.08.2018;8/31/2018;3/7/1988;30;2;1;3; ;1; ; ; ; ; ; ; ; ;1; ;1;5;8; ; ; ; ; ;4; ;9;1;14
29;1;257;237;138;249;20; ;29;2;31.08.2018;8/31/2018;10/25/1954;63;5;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;5;8; ; ; ; ; ;4; ;9;1;14
